symbol,name,reportDate,fiscalDateEnding,estimate,currency
APD,Air Products & Chemicals Inc,2024-11-05,2024-09-30,3.49,USD
APD,Air Products & Chemicals Inc,2025-02-03,2024-12-31,,USD
APD,Air Products & Chemicals Inc,2025-04-28,2025-03-31,,USD
