"ポートフォリオ一覧",
"一括表示",
"PTS株価非表示",
"総件数：2件",
"選択範囲：1-2件",
"ページ：1",
"株式（現物/一般預り）","※損益は「参考単価」をもとに算出しています。",
"銘柄（コード）","買付日","数量","参考単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"179A ＧＸ超長期米国債Ｈ","2024/09/06",10,320,318.8,"--","--",-12,-0.38,3188,
"1655 ｉＳＳＰ５００米国株","2024/09/13",10,569,585,"--","--",+160,+2.81,5850,
"株式(現物/一般預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
9038,+148,+1.66,0,0,

